user,day,anomaly_score,primary_reason,logon_count,logoff_count,unique_pcs,after_hours_ratio,device_connects,file_count,unique_files
MPM0220,2010-09-15,-0.1274197976740563,logon_count (z=1.83),8,7,6,1.625,13.0,34.0,34.0
MPM0220,2010-08-05,-0.1232374434267769,logoff_count (z=1.80),7,7,6,1.5714285714285714,13.0,28.0,28.0
AJF0370,2010-01-29,-0.12295937368010468,device_connects (z=1.69),7,6,6,1.4285714285714286,14.0,37.0,37.0
AJF0370,2010-09-13,-0.12295937368010468,file_count (z=2.59),7,6,6,1.4285714285714286,14.0,49.0,49.0
AJF0370,2011-04-11,-0.12295937368010468,device_connects (z=1.69),7,6,6,1.4285714285714286,14.0,37.0,37.0
MPM0220,2010-06-09,-0.12295937368010468,device_connects (z=1.39),7,6,6,1.4285714285714286,14.0,36.0,36.0
MPM0220,2010-10-11,-0.12295937368010468,file_count (z=1.48),7,6,6,1.4285714285714286,14.0,41.0,41.0
AJF0370,2010-11-15,-0.12295937368010468,device_connects (z=1.69),7,6,6,1.4285714285714286,14.0,41.0,41.0
MPM0220,2010-11-02,-0.12240351631449675,unique_pcs (z=1.33),7,6,6,1.4285714285714286,13.0,39.0,39.0
AJF0370,2010-05-24,-0.12240351631449675,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,39.0,39.0
AJF0370,2011-03-24,-0.12240351631449675,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,35.0,35.0
AJF0370,2010-09-14,-0.12240351631449675,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,37.0,37.0
MPM0220,2010-05-17,-0.12240351631449675,unique_pcs (z=1.33),7,6,6,1.4285714285714286,13.0,36.0,36.0
AJF0370,2011-01-05,-0.12206812935430511,file_count (z=2.59),6,6,6,1.6666666666666667,14.0,49.0,49.0
AJF0370,2011-02-11,-0.12206812935430511,after_hours_ratio (z=2.04),6,6,6,1.6666666666666667,14.0,42.0,42.0
MPM0220,2010-08-24,-0.1218480349071771,logon_count (z=1.83),8,7,6,1.25,14.0,39.0,39.0
MPM0220,2010-07-30,-0.1218480349071771,file_count (z=1.91),7,7,6,1.2857142857142858,14.0,44.0,44.0
AJF0370,2010-07-08,-0.1218480349071771,device_connects (z=1.69),7,6,6,1.2857142857142858,14.0,35.0,35.0
MPM0220,2010-06-15,-0.1218480349071771,file_count (z=2.05),8,7,6,1.25,14.0,45.0,45.0
IBB0359,2011-04-29,-0.12157043510840548,file_count (z=3.34),7,6,6,1.4285714285714286,13.0,30.0,30.0
AJF0370,2010-09-20,-0.1215128747884654,after_hours_ratio (z=2.04),6,6,6,1.6666666666666667,13.0,35.0,35.0
MPM0220,2010-09-02,-0.1215128747884654,after_hours_ratio (z=1.85),6,6,6,1.6666666666666667,13.0,32.0,32.0
MPM0220,2010-08-13,-0.12129292920386348,logon_count (z=1.83),8,7,6,1.25,13.0,36.0,36.0
MPM0220,2010-03-05,-0.12129292920386348,logon_count (z=1.83),8,7,6,1.25,13.0,40.0,40.0
MPM0220,2010-08-10,-0.12046097453808535,unique_pcs (z=1.33),7,6,6,1.2857142857142858,13.0,30.0,30.0
AJF0370,2011-03-04,-0.12040349205451994,after_hours_ratio (z=2.04),6,6,6,1.6666666666666667,13.0,29.0,29.0
AJF0370,2010-07-07,-0.11984936337857299,logon_count (z=1.54),7,6,6,1.4285714285714286,12.0,40.0,40.0
MPM0220,2010-11-03,-0.11984936337857299,unique_pcs (z=1.33),7,6,6,1.4285714285714286,12.0,35.0,35.0
AJF0370,2011-03-01,-0.11984936337857299,logon_count (z=1.54),7,6,6,1.4285714285714286,12.0,36.0,36.0
AJF0370,2011-03-07,-0.119629863777716,device_connects (z=1.69),7,6,6,1.0,14.0,32.0,32.0
MPM0220,2010-06-28,-0.119629863777716,device_connects (z=1.39),7,6,6,1.1428571428571428,14.0,34.0,34.0
AJF0370,2010-12-08,-0.119629863777716,file_count (z=1.78),7,6,6,1.1428571428571428,14.0,43.0,43.0
MPM0220,2010-08-20,-0.119629863777716,file_count (z=2.19),7,6,6,1.1428571428571428,14.0,46.0,46.0
AJF0370,2010-10-12,-0.119629863777716,device_connects (z=1.69),7,6,6,1.1428571428571428,14.0,32.0,32.0
MPM0220,2010-04-28,-0.119629863777716,file_count (z=1.91),7,6,6,1.1428571428571428,14.0,44.0,44.0
MPM0220,2010-10-04,-0.119629863777716,file_count (z=2.19),7,6,6,1.1428571428571428,14.0,46.0,46.0
AJF0370,2010-07-02,-0.119629863777716,file_count (z=2.19),7,6,6,1.1428571428571428,14.0,46.0,46.0
AJF0370,2011-05-11,-0.119629863777716,device_connects (z=1.69),7,6,6,1.1428571428571428,14.0,41.0,41.0
AJF0370,2011-05-16,-0.119629863777716,file_count (z=2.05),7,6,6,1.1428571428571428,14.0,45.0,45.0
